company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Clara","clara.ai","AU","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Clara.ai's customer service automation platform features voice capabilities to automate customer interactions.","AI-powered customer service automation platform with voice capabilities."
"Ava","ava.me","AU","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Your AI receptionist - Handles calls, takes messages, and schedules meetings.","Building AI receptionist solutions"
"Teleperformance Philippines","teleperformance.com","Philippines","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","Digital transformation to improve customer service operations","Philippines-based BPO providing customer experience and contact center solutions, leveraging digital transformation and AI."
"AISpot","aispot.ai","IN","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI voice assistant to make and receive calls, set reminders, and answer questions.","AI-powered voice assistant platform."
"Oakter","oakter.com","India","APAC","iot","ai-agent","validated","tier3","30","","voice_agent","Voice AI Assistant: Automate tasks through voice-activated assistants.","Offers voice-activated AI assistants for various business tasks."
"Involve.ai","involve.ai","AU","APAC","technology","ai-agent","unverified","tier3","30","","telephony_signal","Leverage AI to gain a comprehensive view of your customer interactions and proactively address churn risks.","Customer success platform with AI-powered insights for managing customer relationships including phone-based interactions."
"Vokal","vokal.ai","India","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Building voice based AI assistants for Bharat (India).","Developing voice-based AI assistants tailored for the Indian market."
"Intelenet Global Services","intelenetglobal.com","IN","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","Provides comprehensive contact center services across various industries","BPO and contact center services provider, offering voice and digital customer experience."
"Voxta","voxta.ai","Australia","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI voice assistant to automate inbound customer service calls","Provides AI-powered voice assistants for various applications."
"CallMiner Eureka (through acquisition)","auraya.com.au","Australia","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Speech analytics and voice of the customer solutions","Provides speech analytics and voice of the customer solutions."
"VERITON","veriton.com.au","AU","APAC","technology","ai-agent","unverified","tier3","30","","telephony_signal","Phone systems for small businesses","Automated phone systems and phone answering services."
"iBoss","iboss.com.au","AU","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI powered customer service assistants","Offering AI-driven voice assistants and automation."
"kookoo.in","kookoo.in","IN","APAC","technology","ai-agent","unverified","tier3","30","","telephony_signal","Build voice applications in the cloud","Cloud telephony platform for businesses with APIs and tools for building voice applications"
"Ocular.ai","ocular.ai","IN","APAC","technology","ai-agent","validated","tier3","30","","voice_agent","AI Powered Voice Automation for Call Centers","AI-powered call center solution for sales and support."
"Qualitas AI","qualitas.ai","SG","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Build conversational AI agents that communicate naturally","AI startup building conversational AI agents for customer service."
"Teleperformance India","teleperformance.com","IN","APAC","technology","ai-agent","validated","tier3","30","","provider_signal","AI-powered customer experience, Intelligent automation solutions","Multinational BPO providing contact center and customer experience management solutions with AI integration."
"Callbox","callbox.com.ph","PH","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","lead generation and sales support call center","B2B outsourcing for contact center and sales operations using voice."
"Open Health","openhealth.co.jp","JP","APAC","healthcare","ai-agent","unverified","tier3","30","","phone_workflow","telehealth platform","Japanese telehealth platform likely using voice for patient communication."
"Verint Systems (Australia)","verint.com.au","AU","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI-Powered Agent Assist, Conversational AI","Verint offers solutions for customer engagement, including conversational AI and automation for contact centers."
"Callbox (Philippines)","callbox.com.ph","PH","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","Call center services, lead generation","B2B marketing solutions including call center and lead generation services."
"Tech Mahindra Business Process Services","techmahindra.com","IN","APAC","technology","ai-agent","validated","tier3","30","","provider_signal","uses AI","Provides BPO and customer service, uses AI"
