company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform for customer service automation."
"plexusai.co","plexusai.co","UK","EMEA","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient outreach","AI-powered patient engagement and communication platform for healthcare providers."
"Cleverly.ai","cleverly.ai","Germany","EMEA","hr-tech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered customer service automation platform that handles customer inquiries via voice."
"Untrite","untrite.com","ES","EMEA","customer support","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agent for customer support and collections."
"Jacada","jacada.com","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center operations","Provides Robotic Process Automation and AI-powered customer service solutions, including virtual agents."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides an open-source framework for building conversational AI assistants."
"Transcom","transcom.com","Sweden","EMEA","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center services","Global customer experience specialist providing contact center services."
"Foundever","foundever.com","France","EMEA","ai-voice","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center services","Global provider of customer experience (CX) solutions with contact center services."
"Arthur.ai","arthur.ai","UK","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Provides an AI agent platform focusing on automation and customer interaction."
"UQualio","uqualio.com","Netherlands","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered agent for customer engagement."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","accounts receivable","Uses AI for customer engagement and sales automation. Potential for voice applications."
"Aviso AI","aviso.com","UK","EMEA","sales","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","call analytics","AI-driven revenue intelligence platform using conversational intelligence."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai conversation","Conversation intelligence platform that processes voice conversations to extract insights."
"Aura Group","aura.co","UK","EMEA","healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voicebot","Develops AI solutions focused on voice technologies."
"Y Meadows","ymeadows.com","CH","EMEA","contact-center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice conversation","AI-powered customer service platform."
"LeadDesk","leaddesk.com","FI","EMEA","ai-voice","contact-center","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud contact center for sales and customer service with a dialer"
"Aixplain","aixplain.com","DE","EMEA","customer_service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai call center","No-code AI platform for call center AI"
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer experience","AI-powered platform for analyzing customer feedback from various sources."
"Talia","talia.chat","ES","EMEA","Customer Service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","AI-powered voice assistants for customer service automation."
"Utterly","utterly.app","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer service","Provides an AI platform to automate customer calls"
"Remi AI","remi-ai.com","France","EMEA","Any","ai-agent","unverified","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center","AI-powered virtual assistant for call centers."
"Slang.ai","slang.ai","ES","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","AI-powered voice assistant for language learning."
"HumanFirst","humanfirst.ai","UK","EMEA","cross-vertical","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","HumanFirst provides tooling to build, test and improve conversational AI systems."
"Jiminny","jiminny.com","GB","EMEA","sales","ai-agent","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","call tracking","Provides a conversation intelligence platform for sales teams."
"Leadworx","leadworx.com","FI","EMEA","sales","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","lead generation","Offers lead generation and sales automation tools."
"Dixa","dixa.com","Denmark","EMEA","customer support","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer service","Customer service platform with omnichannel support."
"Invoca","invoca.com","UK","EMEA","any","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","call analytics","Invoca uses AI to analyze phone conversations for marketing insights and lead qualification."
"Quantanite","quantanite.com","UK","EMEA","Any","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","BPO provider offering contact center solutions and AI-powered automation."
"Auxilion","auxilion.com","Ireland","EMEA","BPO","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","IT outsourcing company providing managed services and contact center solutions."
"Content Guru","contentguru.com","UK","EMEA","any","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Provider of cloud contact center and customer engagement solutions."
