company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"NoonJi","noonji.com","France","EMEA","healthtech","voice-api","unverified","tier3","30","","phone_workflow","NoonJi provides mental health support through voice interaction.","Offers voice-based solutions for mental health support."
"Dialogica","dialogica.com","ES","EMEA","customer service","ai-agent","unverified","tier3","30","","voice_agent","Conversational AI solutions for customer support, sales, and marketing.","Develops AI-driven conversational solutions for customer service."
"Akur8","akur8.com","France","EMEA","insurtech","voice-ai","validated","tier3","70","","","","Pricing platform for insurance companies that could integrate with voice for claims processing or customer service."
"Sana Labs","sanalabs.com","Sweden","EMEA","general","voice-api","validated","tier3","70","","","","AI learning platform to enable voice-based interactions within the platform."
"ip-label","ip-label.com","France","EMEA","general","voice-api","validated","tier3","70","","","","Performance monitoring for applications, possibly including voice applications."
"CustomerGauge","customergauge.com","NL","EMEA","any","voice-api","validated","tier3","70","","","","Customer feedback platform that integrates with telephony systems."
"Talkpush","talkpush.com","","EMEA","","voice-api","validated","tier3","100","","","","Recruitment software using VoIP to automate phone interviews. Core business process is phone calls."
"Sabio","sabiogroup.com","GB","EMEA","any","voice-api","validated","tier3","70","","","","Contact center solutions"
"talkIQ.tech","talkiq.tech","UK","EMEA","CX Analytics","voice-api","validated","tier3","70","","","","Uses AI to analyze call recordings and provide insights for improving customer interactions."
"Unbabel","unbabel.com","PT","EMEA","any","voice-api","validated","tier3","70","","","","AI-powered translation platform that integrates with contact centers to provide real-time multilingual support."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier3","70","","","","Cloud contact center solutions with integrated voice and digital channels."
"Content Guru","contentguru.com","UK","EMEA","any","voice-api","validated","tier3","70","","","","Cloud contact center and customer engagement solutions."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier3","70","","","","Provides contact center solutions and services including voice and AI integration."
"Ombea","ombea.com","Sweden","EMEA","any","voice-api","validated","tier3","70","","","","Feedback and interaction platform with voice of the customer analytics."
"SuperOffice","superoffice.com","Norway","EMEA","any","voice-api","validated","tier3","70","","","","CRM platform with potential for telephony integrations and AI-powered communication."
"Biobeats","biobeats.com","UK","EMEA","healthtech","voice-api","validated","tier3","100","","","","Developing predictive AI for mental wellness"
"Voice AI","open.cx","Switzerland","EMEA","","voice-ai","unverified","tier3","30","","","","AI Voice handles your phone support with natural conversations, intelligent routing, and seamless handoffs to human agents. Your customers won't know they're ..."
"Eurowings brings multilingual Voice AI to its call centers in under ...","leapingai.com","UK","EMEA","","voice-ai","unverified","tier3","30","","","","Eurowings partnered with Ströer-X and Leaping AI to introduce voice AI into their outsourced call center operations. The goal was to improve customer ..."
"The Market Map of AI Voice & Call Center Agents","b2venture.vc","Various","EMEA","insurtech","voice-ai","unverified","tier3","30","","","","Sierra *(2023; San Francisco, USA; raised USD 285M over 2 rounds): helps businesses deploy customisable AI agents for customer support that ..."
"CallPage","callpage.io","Poland","EMEA","Any","voice-api","validated","tier3","70","","","","CallPage offers a widget that connects website visitors with consultants via phone call in 28 seconds, focusing on sales and lead generation through immediate voice communication."
"Penni.io","penni.io","Denmark","EMEA","insurtech","voice-ai","validated","tier3","70","","","","Digital insurance platform focusing on simplification and sales enablement, likely needing voice solutions for customer interaction."
"Vocal Agent AI","vocalagent.eu","IE","EMEA","","voice-ai","unverified","tier3","30","","","","Transform customer communication with human-like AI voice agents that work 24/7. Increase sales, reduce costs, and never miss another opportunity."
"Premium Voice AI Agents","voicecentreai.co.uk","GB","EMEA","","voice-ai","unverified","tier3","30","","","","Migrate to an AI Call Centre with Human-like Voice AI Agents that Automate inbound and outbound Customer Calls - purpose built to your industry."
