company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Virtual agent for healthcare"
"Aveni.ai","aveni.ai","UK","EMEA","fintech","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech analytics","AI platform for financial services that helps automate compliance and customer interactions, including voice."
"Vocapia Research","vocapia.com","FR","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","speech analytics","Speech analytics and voice search technology."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer service."
"Transcom","transcom.com","Sweden","EMEA","any","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Global customer experience specialist, providing contact center and customer care services."
"Sigma Connected","sigmaconnected.com","UK","EMEA","Any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","business process outsourcing","Provides outsourced contact center services, emphasizing phone-based interactions."
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier1","90","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","AI voice platform creating natural-sounding AI voices for conversational AI, chatbots, and IVR."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Spitch provides enterprise and government clients with omnichannel conversational AI solutions."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform focused on collections and customer engagement."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Conversation intelligence platform with speech-to-text."
"Intelia","intelia.io","ES","EMEA","ai-voice","ai-agent","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Offers AI-powered solutions for contact centers, including voice assistants."
"Foundever","foundever.com","France","EMEA","ai-voice","ai-agent","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","cx outsourcing","Customer service call center providing customer support solutions."
"Alcméon","alcmeon.com","FR","EMEA","contact-center","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voicebot","Develops AI-powered customer service solutions, including chatbots and voicebots."
"Arvato","arvato.com","Germany","EMEA","BPO","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","bpo","Business Process Outsourcing provider with contact center solutions and automation."
"Auxilion","auxilion.com","Ireland","EMEA","BPO","ai-agent","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center","Contact center support and IT services."
"Planday","planday.com","Denmark","EMEA","ai-voice","ai-agent","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Workforce management solution for healthcare with call center optimization."
"Speech Processing Solutions","www.speech.com","Austria","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech ai","Develops speech recognition and dictation solutions."
"AuraQ","auraq.com","United Kingdom","EMEA","ai-voice","contact-center","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center","Provides contact center solutions and services."
"Call Centre Helper","callcentrehelper.com","United Kingdom","EMEA","ai-voice","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Publishes articles about call centers"
"Veriff","veriff.com","Estonia","EMEA","identity verification","voice-api","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","identity verification","Uses phone calls as part of their identity verification process."
"Landbot","landbot.io","Spain","EMEA","all","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","No-code chatbot and conversational AI platform."
"Anyday","anyday.io","Denmark","EMEA","fintech","phone-workflow","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","phone support","Buy-now-pay-later with robust customer service, which often involves phone support."
"Doctolib","doctolib.fr","France","EMEA","healthcare","phone-workflow","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","appointment reminders","Offers phone-based appointment reminders and customer support as part of its online medical booking service."
"Mimica Automation","mimica.ai","United Kingdom","EMEA","general","ai-agent","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Platform to automate processes, including voice processes using AI"
