company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Pando","pando.ai","UK","EMEA","healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Secure messaging and collaboration platform for healthcare professionals, including voice note functionality."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier1","90","Platform builders embedding telephony / voice automation","embedded_voice_platforms","predictive dialer","AI-powered platform for sales performance and automation, including predictive dialer and voice analysis features."
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered virtual assistants for financial institutions, automating customer service and support via voice."
"DigitalGenius","digitalgenius.com","GB","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered customer service automation platform using NLP to understand and respond to customer inquiries via voice."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides conversational AI solutions for automating customer service interactions across voice channels."
"Ipsoft Amelia","ipsoft.com","UK","EMEA","contact-center","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered virtual assistant for enterprise automation. The Amelia platform provides natural language understanding, conversational AI, and intelligent automation capabilities for automating customer service and support interactions across voice channels."
"Corti","corti.ai","Denmark","EMEA","hr-tech","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice-based ai","AI-powered clinical decision support system that assists healthcare professionals in emergency situations."
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides virtual assistant solutions for healthcare and customer service."
"Smartly.ai","smartly.ai","SG","APAC","technology","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered platform for building and managing customer service chatbots, including voice-enabled assistants."
"Planday","planday.com","Denmark","EMEA","ai-voice","ai-agent","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Workforce management with automated call-outs and communication features."
"IPsoft","ipsoft.com","UK","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Provides Amelia, an AI-powered virtual assistant for enterprise automation."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer service automation."
"Dixa","dixa.com","Denmark","EMEA","customer support","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","ai agent","Customer service platform with AI capabilities for automating interactions."
"Veritone","veritone.com","UK","EMEA","general","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice recognition","AI platform for media and entertainment, including voice recognition and analysis."
"HumanFirst","humanfirst.ai","UK","EMEA","cross-vertical","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Voice AI powering digital transformation in healthcare"
"Avaamo","avaamo.ai","India","APAC","technology","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Enterprise platform for conversational AI"
"Veridas","veridas.com","ES","EMEA","Security","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice recognition","Biometric authentication solutions including voice recognition for financial services."
"Slang.ai","slang.ai","ES","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice ai platform","Voice AI for language learning, enabling interactive spoken conversations."
"ReadSpeaker","readspeaker.com","SE","EMEA","ai-voice","voice-api","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","text to speech","Text-to-speech solutions for web accessibility and digital content."
"CallMiner","callminer.com","AU","APAC","technology","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","CallMiner Eureka Conversation Intelligence platform analyzes customer interactions to improve business performance."
"SOVVA.ai","sovva.ai","Finland","EMEA","contact center","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voicebot","AI-powered customer service automation platform for voice and chat."
"Respeecher","respeecher.com","Ukraine","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","speech synthesis","Voice cloning and voice modification technology for creating realistic character voices. *Acquired by Nvidia*"
"Mindtrace","mindtrace.com","UK","EMEA","marketing","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","B2B conversational AI platform to identify and engage buyers to increase sales."
"Neuro.net","neuro.net","Singapore","APAC","technology","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automated customer communication."
"Vianai Systems","vian.ai","CH","EMEA","customer support","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice ai solution","Voice AI solution provider for enterprises."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Cloud-based contact center solution with AI capabilities."
"boost ai","boost.ai","NO","EMEA","customer-service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer service automation, especially for finance."
"Pactum AI","pactum.com","EE","EMEA","general","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-driven negotiation platform that could leverage voice AI for negotiation automation."
"Langly","langly.ai","DE","EMEA","contact center","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agent for customer service, handling calls and providing support."
"Descript","descript.com","IE","EMEA","marketing","voice-api","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice cloning","Audio and video editing software with transcription and voice cloning features."
"Linguatec","linguatec.de","DE","EMEA","speech technology","voice-api","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech recognition","Develops speech recognition and text-to-speech technologies."
"Veriff","veriff.com","Estonia","EMEA","identity verification","voice-api","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","identity verification","Identity verification, could utilize voice biometrics."
"Ellipsis Health","ellipsishealth.com","US","AMER","healthcare","ai-agent","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","patient engagement","Ellipsis Health uses speech to analyze voice data for insights into mental health. (Included despite US HQ as example of phone-based speech analysis)"
"One Creation","one-creation.com","France","EMEA","general","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Develops conversational AI solutions for businesses to improve customer experience."
"DeepPavlov","deeppavlov.ai","Russia","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai","Open-source conversational AI framework."
"CallDesk.ai","calldesk.ai","France","EMEA","contact center","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice agent","Develops and operates AI-powered call centers."
"Utterly","utterly.app","UK","EMEA","ai-voice","ai-agent","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","interactive voice","Platform enabling businesses to create interactive voice experiences."
"Aflorithmic Labs","aflorithmic.ai","ES","EMEA","ai-voice","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","text to speech","AI voice platform and generative audio API."
"Vocalyse","vocalyse.ai","Netherlands","EMEA","ai-agent","ai-agent","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","appointment management","AI company specializes in speech analysis for coaching and communication insights."
"CallRevu","callrevu.com","UK","EMEA","any","voice-ai","validated","tier1","100","Platform builders embedding telephony / voice automation","embedded_voice_platforms","phone system","AI-powered call tracking and analysis for automotive dealerships."
"Clustaar","clustaar.com","France","EMEA","customer service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Platform for building and managing conversational AI chatbots and voice assistants."
"Verbit.ai","verbit.ai","AU","APAC","technology","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice ai solution","AI-powered transcription and captioning platform."
