company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides virtual assistant and chatbot solutions for customer engagement."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer service interactions."
"Transcom","transcom.com","Sweden","EMEA","any","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","call center operations","Customer experience specialist providing contact center solutions including voice."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Cloud Contact Center solution with voice at its core."
"Ascensos","ascensos.com","UK","EMEA","Any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center services","Outsourced contact center services."
"Sigma Connected","sigmaconnected.com","UK","EMEA","Any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","bpo","Sigma Connected is a BPO provider specializing in customer contact solutions."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI for credit, collections and customer engagement"
"Luware","luware.com","CH","EMEA","finance","ai-agent","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","call recording","Provides contact center solutions integrated with Microsoft Teams."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","automated calls","AI-powered platform automating the collection process, including automated call reminders and customer payment portals."
"Sabio","sabiogroup.com","GB","EMEA","any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center","Customer experience and contact center transformation services."
"Amberscript","amberscript.com","Netherlands","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech recognition","AI-powered transcription platform."
"Onebase","onebase.co","DE","EMEA","contact-center","ai-agent","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center","Offers contact center solutions with focus on automation."
"Phonal AI","phonal.ai","FR","EMEA","customer-service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice agent","Modern telephony for startups, freelancers, and small teams."
"Aflorithmic","aflorithmic.ai","UK","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice synthesis","AI voice synthesis platform creating lifelike audio for various applications."
"Babblevoice","babblevoice.com","GB","EMEA","contact-center","contact-center","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","appointment management","Offers cloud-based telephony solutions, including call handling and management."
"Speech Processing Solutions","www.speech.com","Austria","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech ai","A provider of professional speech technology solutions."
"Antal International","antal.com","United Kingdom","EMEA","BPO","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Recruitment agency specializing in contact center recruitment."
"Bosch Service Solutions","boschservicesolutions.com","Germany","EMEA","BPO","ai-agent","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","business process outsourcing","Business process outsourcing with contact center solutions"
