company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"CloudCall","cloudcall.com","UK","EMEA","sales","voice-api","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","phone system","Integrated communications for CRM, bringing voice, video and messaging to the cloud."
"Cleverly.ai","cleverly.ai","Germany","EMEA","hr-tech","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center","AI-powered call center automation."
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient communication","Provides AI-powered virtual assistants for healthcare providers, including automated patient communication and support."
"Vocapia Research","vocapia.com","FR","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech analytics","Speech analytics and transcription services"
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Offers contact center solutions and services."
"Desana","desana.io","UK","EMEA","any","ai-agent","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","phone system","Desana offers an AI-powered phone system for managing calls and voice interactions within flexible workspaces."
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice cloning","AI voice cloning technology for creating realistic voiceovers and virtual characters."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","An open-source conversational AI framework for building text- and voice-based assistants."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","No-code conversational AI platform for customer service automation."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voicebot","Develops conversational AI solutions for enterprises, including voicebots and chatbots for customer service."
"Spoke.ai","spoke.ai","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai call center","AI-powered call center solutions for personalized customer interactions."
"Dixa","dixa.com","Denmark","EMEA","customer support","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","phone support","Customer service platform that unifies phone, email, chat, and social media channels."
"CPM International","cpm-int.com","UK","EMEA","BPO","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Outsourced sales teams."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai conversation","Conversation intelligence platform for real-time insights from voice and text."
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agents for customer service automation."
"Konverso","konverso.ai","France","EMEA","IT Service Desk","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered conversational platform for customer support."
"Content Guru","contentguru.com","UK","EMEA","any","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud contact center and customer engagement solutions."
"Utterly","utterly.app","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center","AI-powered call center automation platform."
"Neurosoft","neurosoft.gr","Greece","EMEA","customer support","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","field service","Provides call center solutions for financial institutions."
"Talkwalker","talkwalker.com","LU","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech recognition","Offers speech recognition and analytics."
"ReadSpeaker","readspeaker.com","SE","EMEA","ai-voice","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech technology","Text-to-speech solutions for website accessibility."
"CallCare","callcare247.com","UK","EMEA","healthcare","contact-center","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer experience","24/7 outsourced call answering services."
"Scorebuddy","scorebuddy.co","IE","EMEA","contact-center","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center","Call center quality assurance platform."
"Polycare","polycare.com","DE","EMEA","healthcare","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","care coordination","Provides a telephone-based care coordination service."
