company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Yuma","yuma.ai","UK","EMEA","HR Tech","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer service","AI powered virtual assistant for scheduling calls"
"Vocads","vocads.com","Denmark","EMEA","Any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational voice ai","AI-powered outbound calling for lead generation."
"Calabrio","calabrio.com","Sweden","EMEA","Any","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","AI-driven voice analytics"
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice technology","AI voice technology for audiobooks and digital content."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides an open-source conversational AI framework for building contextual AI assistants."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform for automating customer interactions."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voicebot","Provides enterprise voice AI solutions, including voicebots and speech analytics."
"Slang.ai","slang.ai","ES","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai assistant","Slang.ai is a voice assistant for enterprise contact centers."
"Vokode","vokode.com","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai platform","Voice AI platform for building custom voice assistants."
"Lead Connect","leadconnect.io","GB","EMEA","sales","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","outbound dialer","Outbound dialer that automates calling"
"Sabio","sabiogroup.com","GB","EMEA","any","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","CX transformation services with contact center focus and AI offerings."
"Calldesk","calldesk.ai","France","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","CallDesk is a company that develops AI voice agents for contact centers."
"Ava AI","ava.me","UK","EMEA","service operations","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer service","AI powered virtual assistant for phone calls and meetings"
"LeadDesk","leaddesk.com","FI","EMEA","ai-voice","contact-center","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud contact center platform with built in AI to assist call-center agents"
"Alcméon","alcmeon.com","FR","EMEA","contact-center","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","messaging platform","AI-powered customer service platform."
"i2CAT","i2cat.net","ES","EMEA","ai-voice","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Research center working on voice technologies and conversational AI."
"Sensely","sensely.com","UK","EMEA","healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered virtual health assistant for patient engagement."
